Mese,Giorno,Data_n,Data,Ora,Luogo,Feriti,Tipo_Sinistro,lat,lng,geocoding,fid,UPL,UPL_nome,Quartiere,circoscrizione,Id_Quartiere
Gennaio,Martedì,"4",04/01/2022,08:25:00,VIALE DELLE ROSE intersezione con VIA ARMIDA,"1",F,38.199818,13.325773,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Gennaio,Giovedì,"13",13/01/2022,07:05:00,VIALE GALATEA intersezione VIA PAZIENZA,"1",F,38.198446,13.31859,si,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Gennaio,Venerdì,"14",14/01/2022,15:45:00,VIALE VENERE altezza VIALE M. DI SAV,"0",C,38.189619,13.332854,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Gennaio,Venerdì,"14",14/01/2022,15:45:00,VIALE VENERE altezza M. DI SAVOIA,"1",F,38.189619,13.332854,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Gennaio,Mercoledì,"19",19/01/2022,15:40:00,VIALE VENERE intersezione con VIA MARINAI ALLIATA,"1",F,38.18965,13.328476,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Giovedì,"3",03/02/2022,11:45:00,VIA PARTANNA MONDELLO altezza del civico 39,"0",C,38.192437,13.301845,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Mercoledì,"9",09/02/2022,07:55:00,VIALE VENERE intersezione con VIA MARINAI ALLIATA,"0",C,38.189655,13.328467,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Lunedi,"14",14/02/2022,12:00:00,VIA MARINAI ALLIATA altezza del civico 8,"0",C,38.187406,13.328991,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Venerdì,"18",18/02/2022,17:59:00,PIAZZA CASTELFORTE intersezione VIALE VENERE,"0",C,38.188881,13.322702,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Domenica,"20",20/02/2022,00:15:00,VIA TOLOMEA intersezione con VIA PINDARO,"2",F,38.207351,13.32129,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Febbraio,Mercoledì,"23",23/02/2022,17:45:00,LUNGOMARE COLOMBO CRISTOFORO altezza del civico 2343,"1",F,38.18421,13.363339,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Marzo,Martedì,"1",01/03/2022,20:40:00,VIA SOFOCLE intersezione con VIA PARTANNA MONDELLO,"0",C,38.193758,13.303464,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Marzo,Venerdì,"18",18/03/2022,00:40:00,VIALE MARGHERITA DI SAVOIA intersezione con VIALE VENERE,"3",F,38.190555,13.332756,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Marzo,Giovedì,"24",24/03/2022,18:30:00,VIA IANDOLINO LORENZO altezza del civico 86,"2",F,38.196364,13.311988,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Marzo,Mercoledì,"31",31/03/2022,02:30:00,VIALE EURIDICE altezza del civico 7,"0",C,38.19238,13.331105,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Aprile,Martedì,"12",12/04/2022,17:30:00,VIA MONDELLO intersezione con VIA TOLOMEA,"2",F,38.206013,13.323967,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Aprile,Mercoledì,"13",13/04/2022,16:30:00,VIA PARTANNA MONDELLO altezza del civico 120,"0",C,38.196185,13.308564,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Aprile,Lunedi,"25",25/04/2022,19:30:00,VIALE DELLE ROSE intersezione con VIA ARMIDA,"5",F,38.199818,13.325782,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Aprile,Martedì,"26",26/04/2022,11:15:00,VIA CASTELFORTE altezza del civico 95/a,"1",F,38.183506,13.324874,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Aprile,Martedì,"26",26/04/2022,19:10:00,VIALE PRINCIPE DI SCALEA intersezione con LARGO HACK MARGHERITA,"0",C,38.199586,13.32715,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Domenica,"1",01/05/2022,14:25:00,VIA ARGONAUTI intersezione VIALE ITALIA,"0",C,38.193695,13.331282,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Venerdì,"14",14/05/2022,00:00:00,VIALE PERTINI SANDRO a mt. 200 dal civ.710,"1",R,38.186705,13.315513,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Domenica,"15",15/05/2022,11:30:00,VIALE MARGHERITA DI SAVOIA s.n.c.,"1",F,38.184171,13.333806,si...?,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Lunedi,"16",16/05/2022,07:25:00,VIALE VENERE intersezione con VIA MARINAI ALLIATA,"1",F,38.189674,13.328486,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Lunedi,"16",16/05/2022,22:15:00,VIA NESTORE altezza del civico 4,"0",C,38.19473,13.303794,si,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Giovedì,"27",27/05/2022,10:30:00,PIAZZA VALDESI s.n.c.,"1",F,38.196767,13.331822,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Venerdì,"27",27/05/2022,17:00:00,VIALE VENERE altezza del civico 16,"2",F,38.189159,13.324679,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Maggio,Lunedi,"30",30/05/2022,20:30:00,VIA CALPURNIO in prossimità di via mondello,"0",C,38.207075,13.325302,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Giovedì,"2",02/06/2022,18:30:00,LUNGOMARE COLOMBO CRISTOFORO nr. 5000,"2",R,38.193449,13.340507,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Sabato,"4",04/06/2022,15:20:00,VIALE PRINCIPE DI SCALEA intersezione VIALE GALATEA,"0",C,38.20171,13.325015,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Sabato,"4",04/06/2022,15:45:00,VIALE GALATEA altezza del civico 49,"0",C,38.198435,13.318736,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Venerdì,"11",11/06/2022,00:01:00,VIA PIANO DI GALLO di fronte -,"0",C,38.208887,13.328738,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Sabato,"11",11/06/2022,03:00:00,LUNGOMARE COLOMBO CRISTOFORO pressi 5411,"0",C,38.195759,13.337945,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Domenica,"12",12/06/2022,15:30:00,VIA PALINURO intersezione VIA CIRCE,"1",F,38.203404,13.323395,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Domenica,"12",12/06/2022,19:10:00,VIA SALINE nr. 3,"1",F,38.1927,13.329113,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Lunedi,"13",13/06/2022,02:15:00,VIALE MARGHERITA DI SAVOIA altezza del civico 85,"1",R,38.188193,13.333056,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Martedì,"14",14/06/2022,22:00:00,VIA CASTELFORTE pressi FAMILA,"0",C,38.186669,13.32367,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Lunedi,"21",21/06/2022,00:30:00,VIALE DELLE PALME altezza (inters.) VIALE PRINCIPESSA MAFALDA,"1",F,38.195498,13.335173,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Mercoledì,"22",22/06/2022,05:55:00,VIALE MARGHERITA DI SAVOIA nr. 85 I,"0",C,38.188315,13.333079,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Domenica,"26",26/06/2022,18:00:00,VIALE PRINCIPE DI SCALEA nr. 28,"0",C,38.19749,13.329579,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Giugno,Lunedi,"27",27/06/2022,14:00:00,VIALE DELLE PALME altezza (inters.) VIALE PRINCIPE UMBERTO,"0",C,38.19573,13.333059,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Lunedi,"4",04/07/2022,14:30:00,VIALE VENERE pressi n? civico 25,"1",F,38.189717,13.329036,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Martedì,"5",05/07/2022,09:40:00,VIALE DELL'OLIMPO intersezione VIA CHIRONE,"1",F,38.189138,13.308388,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Mercoledì,"6",06/07/2022,14:00:00,VIALE VENERE altezza (spec.) 18,"1",F,38.189182,13.324904,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Mercoledì,"6",06/07/2022,22:20:00,PIAZZA VALDESI altezza (inters.) VIALE MARGHERITA DI SAVOIA,"1",F,38.196521,13.331835,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Giovedì,"7",07/07/2022,08:50:00,VIALE MARGHERITA DI SAVOIA altezza fermata bus,"2",F,38.193572,13.332282,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Sabato,"9",09/07/2022,17:20:00,VIA ALAJMO MICHELE a mt. 40 via Marciano,"1",F,38.184294,13.316695,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Domenica,"10",10/07/2022,19:45:00,LUNGOMARE COLOMBO CRISTOFORO pressi 2105,"1",F,38.183746,13.363846,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Lunedi,"11",11/07/2022,17:05:00,VIA GUALTIERO DA CALTAGIRONE intersezione VIA MARGHERITO DA BRINDISI,"1",F,38.189407,13.344937,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Giovedì,"14",14/07/2022,11:20:00,PIAZZA VALDESI intersezione con VIALE REGINA ELENA,"1",F,38.19723,13.331427,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Venerdì,"15",15/07/2022,18:20:00,VIALE DELL'OLIMPO altezza del civico 1,"0",C,38.18901,13.320504,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Venerdì,"22",22/07/2022,10:00:00,VIALE EURIDICE s.n.c.,"0",C,38.192379,13.331204,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Venerdì,"22",22/07/2022,16:15:00,VIALE MARGHERITA DI SAVOIA nr. 66,"1",F,38.190124,13.332801,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Venerdì,"22",22/07/2022,18:45:00,VIALE PRINCIPESSA MAFALDA intersezione VIALE COLONIA MARINA,"0",C,38.194044,13.335209,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Domenica,"24",24/07/2022,13:25:00,VIALE PRINCIPESSA IOLANDA intersezione VIALE COLONIA MARINA,"1",F,38.194043,13.335223,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Domenica,"24",24/07/2022,13:40:00,VIALE DELLE PALME intersezione VIALE PRINCIPESSA GIOVANNA,"1",F,38.195587,13.336318,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Venerdì,"29",29/07/2022,12:20:00,VIA IANDOLINO LORENZO intersezione VIA CATALANO,"0",C,38.197323,13.314587,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Luglio,Domenica,"31",31/07/2022,14:30:00,VIA PAZIENZA altezza del civico 41,"1",F,38.201932,13.320287,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Mercoledì,"3",03/08/2022,10:45:00,VIALE MARGHERITA DI SAVOIA nr. 57,"0",C,38.193178,13.332332,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Venerdì,"5",05/08/2022,22:30:00,VIALE PRINCIPE DI SCALEA nr. 39,"0",C,38.199111,13.327752,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Venerdì,"5",05/08/2022,23:00:00,LUNGOMARE COLOMBO CRISTOFORO nr. 5356,"0",C,38.195792,13.338617,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Lunedi,"8",08/08/2022,11:30:00,LUNGOMARE COLOMBO CRISTOFORO intersezione con LARGO CARONIA ROBERTI SALV.,"1",F,38.190864,13.344501,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Martedì,"9",09/08/2022,17:57:00,VIA APOLLO intersezione VIA CATALANO,"2",F,38.197928,13.314207,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Sabato,"14",14/08/2022,00:05:00,VIALE VENERE intersezione con VIA MARINAI ALLIATA,"0",C,38.189683,13.328537,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Lunedi,"15",15/08/2022,20:45:00,LUNGOMARE COLOMBO CRISTOFORO altezza del civico 2343,"0",M,38.184207,13.363335,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Martedì,"16",16/08/2022,16:00:00,VIA TIMEO intersezione VIA PROMETEO,"0",C,38.197131,13.306553,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Domenica,"21",21/08/2022,18:00:00,VIALE PRINCIPE DI SCALEA altezza del civico 31,"0",C,38.198593,13.328316,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Lunedi,"29",29/08/2022,15:58:00,VIA GLAUCO altezza (spec.) Mondello,"0",C,38.201386,13.326338,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Lunedi,"30",30/08/2022,01:15:00,VIA PARTANNA MONDELLO altezza del civico 171,"0",C,38.196185,13.311197,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Agosto,Martedì,"30",30/08/2022,15:00:00,VIALE MARGHERITA DI SAVOIA in prossimità di v.le palme,"1",F,38.196091,13.331899,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Venerdì,"9",09/09/2022,16:15:00,VIALE ORFEO altezza (inters.) VIA DEI TIGLI,"1",F,38.192555,13.335682,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Venerdì,"9",09/09/2022,22:15:00,LUNGOMARE COLOMBO CRISTOFORO nr. 2733,"1",F,38.187246,13.360338,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Sabato,"10",10/09/2022,12:15:00,VIA CASTELFORTE altezza del civico 100,"0",C,38.190664,13.320465,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Domenica,"11",11/09/2022,02:45:00,VIALE GALATEA intersezione con VIA CALIPSO,"1",F,38.201545,13.324641,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Lunedi,"12",12/09/2022,14:32:00,VIA MATTEI altezza del civico 27/a,"0",C,38.190596,13.321864,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Venerdì,"16",16/09/2022,20:00:00,VIA NETTUNO intersezione con VIA ROSCIGLIONE GIOVANNI,"1",F,38.195512,13.317301,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Domenica,"18",18/09/2022,17:45:00,VIALE MARGHERITA DI SAVOIA altezza Q 8,"1",F,38.195805,13.33199,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
