Data;Ora;Luogo;Tipo Incidente;Feriti;Latitudine;Longitudine
10/01/2020;13:30;VIA RAIMONDO FRANCESCO altezza del civico 28;C;0;38,118374;13,357242
10/01/2020;15:00;VIALE REGIONE SICILIANA N.O. altezza (inters.) VIA BERNINI GIAN LORENZO;F;2;38,131781;13,329861
10/01/2020;16:30;CORSO CALATAFIMI altezza del civico 647;F;1;38,103773;13,331955
10/01/2020;18:00;VIA BENNICI GIUSEPPE intersezione VIALE DEI PICCIOTTI;F;1;38,107814;13,37773
10/01/2020;18:30;PIAZZA ZISA intersezione VIA MULINI;F;1;38,11581;13,341152
10/01/2020;19:30;VIALE DE GASPERI ALCIDE nr. 53;C;0;38,151013;13,337161
11/01/2020;16:20;VIA TELESINO ALESSANDRO di fronte al civico 47;C;0;38,124275;13,327237
11/01/2020;18:40;VIA BOLOGNI altezza del civico 4;F;1;38,110633;13,308631
11/01/2020;19:00;VIA ARCOLEO GIUSEPPE altezza del civico 29;C;0;38,105262;13,333758
11/01/2020;21:40;VIA SCIMONELLI IGNAZIO altezza (inters.) VIA VENEZIANO ANTONIO;F;1;38,121307;13,344957
11/01/2020;22:15;PIAZZA VERDI GIUSEPPE altezza via;F;1;38,120971;13,357302
11/01/2020;23:30;VIA VAGLICA GIOACCHINO a mt. 50;C;0;38,121967;13,356621
12/01/2020;11:00;VIALE REGIONE SICILIANA N.O. carreggiata centrale CT alt. v.Lazio;M;0;38,139357;13,33121
12/01/2020;13:30;VIA CATANIA intersezione VIA CUSMANO GIACOMO;F;2;38,126796;13,346769
12/01/2020;13:50;VIA LA FARINA GIUSEPPE altezza del civico 27;F;1;38,127924;13,346852
12/01/2020;22:55;VIA DI STEFANO GIOVANNI pressi SVINCOLO Z.I.;F;2;38,085512;13,406022
13/01/2020;09:30;VIA GOETHE altezza del civico 13;F;1;38,120585;13,350705
13/01/2020;13:10;VIA BORRELLI ALFONSO intersezione VIA ORSINI VINCENZO;F;1;38,131386;13,355611
13/01/2020;13:45;VIALE REGIONE SICILIANA N.O. di fronte al civico 3152;F;2;38,132239;13,329907
13/01/2020;14:25;VIA LO JACONO FRANCESCO intersezione VIA VANN'ANTO';F;1;38,134913;13,344198
13/01/2020;16:00;VIALE LEONARDO DA VINCI intersezione con VIA UDITORE;F;2;38,128145;13,327391
